subindex,time,rssi,noise,nrx,ntx,lat,lon,node,role,pos,power,rate,size,distance
197,1900-01-01 16:41:19.324892004,,,,202.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
198,1900-01-01 16:41:19.446742115,,,,203.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
199,1900-01-01 16:41:20.568526263,,,,204.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
200,1900-01-01 16:41:20.690431504,,,,205.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
201,1900-01-01 16:41:20.812265430,,,,206.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
202,1900-01-01 16:41:20.934163707,,,,207.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
203,1900-01-01 16:41:20.560861700,,,,208.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
204,1900-01-01 16:41:20.177903059,,,,209.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
205,1900-01-01 16:41:20.299725726,,,,210.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
206,1900-01-01 16:41:20.421594929,,,,211.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
207,1900-01-01 16:41:21.543438577,,,,212.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
208,1900-01-01 16:41:21.665296781,,,,213.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
209,1900-01-01 16:41:21.787117948,,,,214.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
210,1900-01-01 16:41:21.909013392,,,,215.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
211,1900-01-01 16:41:21.308634850,,,,216.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
212,1900-01-01 16:41:21.152732799,,,,217.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
213,1900-01-01 16:41:21.274608170,,,,218.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
214,1900-01-01 16:41:21.396478799,,,,219.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
215,1900-01-01 16:41:21.518313373,,,,220.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
0,1900-01-01 16:15:54.949183900,,,,1.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
1,1900-01-01 16:15:54.257813043,,,,5.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
2,1900-01-01 16:15:54.379646913,,,,6.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
3,1900-01-01 16:15:54.501571617,,,,7.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
4,1900-01-01 16:15:55.623413802,,,,8.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
5,1900-01-01 16:15:55.745292376,,,,9.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
6,1900-01-01 16:15:55.867155005,,,,10.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
7,1900-01-01 16:15:55.989056246,,,,11.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
8,1900-01-01 16:15:55.110929561,,,,12.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
9,1900-01-01 16:15:55.232793061,,,,13.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
10,1900-01-01 16:15:55.354667690,,,,14.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
11,1900-01-01 16:15:55.476554246,,,,15.0,40.77559,-8.692361,1,tx,5,17,4800,32,2275.8843615175206
